Domain Name,Record Name,Record Type,Record Value
vieer.shop,_e0c9327e17dddc63694b39fbe9d98484.vieer.shop.,CNAME,_2e913aca02ddd2e70fc12369dafad1c4.qxcwttcyyb.acm-validations.aws.
jenkins.vieer.shop,_ac7a10ac4693afc002bbc6c3d1e4e0be.jenkins.vieer.shop.,CNAME,_b756ef3b972acee17dd4cd1d546c3403.mhbtsbpdnt.acm-validations.aws.
